date,home_team_abbr,away_team_abbr,home_ml,away_ml
2022-04-27T22:45:00+00:00,PHI,COL,-210,176
2022-04-27T23:05:00+00:00,WSN,MIA,118,-150
2022-04-27T23:05:00+00:00,NYY,BAL,-260,215
2022-04-27T23:07:00+00:00,TOR,BOS,-130,110
2022-04-27T23:20:00+00:00,ATL,CHC,-205,172
2022-04-27T23:40:00+00:00,MIN,DET,-205,172
2022-04-28T00:05:00+00:00,TEX,HOU,-104,-112
2022-04-28T01:38:00+00:00,LAA,CLE,-205,158
2022-04-28T01:45:00+00:00,SFG,OAK,-162,136
2022-04-28T16:35:00+00:00,CIN,SDP,-104,-112
2022-04-28T16:35:00+00:00,PIT,MIL,136,-162
2022-04-28T17:05:00+00:00,WSN,MIA,122,-144
2022-04-28T17:05:00+00:00,PHI,COL,-215,168
2022-04-28T17:05:00+00:00,NYY,BAL,-260,196
2022-04-28T17:10:00+00:00,TBR,SEA,-162,136
2022-04-28T17:10:00+00:00,MIN,DET,-144,122
2022-04-28T18:05:00+00:00,TEX,HOU,142,-168
2022-04-28T18:10:00+00:00,CHW,KCR,-174,146
2022-04-28T19:07:00+00:00,TOR,BOS,-144,122
2022-04-28T20:07:00+00:00,LAA,CLE,-152,128
2022-04-28T23:20:00+00:00,ATL,CHC,-220,184
2022-04-28T23:45:00+00:00,STL,ARI,-180,152
2022-04-29T22:35:00+00:00,PIT,SDP,146,-186
2022-04-29T22:40:00+00:00,MIA,SEA,-112,-104
2022-04-29T23:05:00+00:00,BAL,BOS,114,-134
2022-04-29T23:07:00+00:00,TOR,HOU,-132,112
2022-04-29T23:10:00+00:00,TBR,MIN,-136,116
2022-04-29T23:10:00+00:00,NYM,PHI,-132,112
2022-04-29T23:10:00+00:00,CHW,LAA,-156,132
2022-04-30T00:05:00+00:00,TEX,ATL,108,-126
2022-04-30T00:10:00+00:00,MIL,CHC,-144,122
2022-04-30T00:10:00+00:00,KCR,NYY,168,-200
2022-04-30T00:15:00+00:00,STL,ARI,-200,168
2022-04-30T00:40:00+00:00,COL,CIN,-116,-102
2022-04-30T01:40:00+00:00,OAK,CLE,-152,128
2022-04-30T02:10:00+00:00,LAD,DET,-260,215
2022-04-30T02:15:00+00:00,SFG,WSN,-240,198
2022-04-30T18:15:00+00:00,STL,ARI,-174,136
2022-04-30T19:07:00+00:00,TOR,HOU,-164,138
2022-04-30T20:05:00+00:00,CHW,LAA,-122,-104
2022-04-30T20:05:00+00:00,SFG,WSN,-220,184
2022-04-30T20:07:00+00:00,OAK,CLE,120,-154
2022-04-30T20:10:00+00:00,TBR,MIN,-215,168
2022-04-30T22:10:00+00:00,MIA,SEA,-122,-106
2022-04-30T22:35:00+00:00,PIT,SDP,140,-166
2022-04-30T23:05:00+00:00,TEX,ATL,100,-118
2022-04-30T23:05:00+00:00,BAL,BOS,156,-186
2022-04-30T23:10:00+00:00,NYM,PHI,-140,110
2022-04-30T23:10:00+00:00,KCR,NYY,180,-235
2022-04-30T23:10:00+00:00,MIL,CHC,-168,142
2022-05-01T00:10:00+00:00,COL,CIN,-146,124
2022-05-01T02:10:00+00:00,LAD,DET,-380,270
2022-05-01T17:05:00+00:00,BAL,BOS,122,-144
2022-05-01T17:10:00+00:00,TBR,MIN,-116,-110
2022-05-01T17:35:00+00:00,PIT,SDP,146,-174
2022-05-01T17:37:00+00:00,TOR,HOU,-192,150
2022-05-01T17:40:00+00:00,MIA,SEA,-132,112
2022-05-01T18:10:00+00:00,KCR,NYY,168,-200
2022-05-01T18:10:00+00:00,MIL,CHC,-270,200
2022-05-01T18:10:00+00:00,CHW,LAA,102,-120
2022-05-01T18:15:00+00:00,STL,ARI,-196,164
2022-05-01T18:35:00+00:00,TEX,ATL,108,-136
2022-05-01T19:10:00+00:00,COL,CIN,-166,130
2022-05-01T20:05:00+00:00,SFG,WSN,-180,152
2022-05-01T20:07:00+00:00,OAK,CLE,108,-126
2022-05-01T20:10:00+00:00,LAD,DET,-290,235
2022-05-01T23:08:00+00:00,NYM,PHI,-215,168
2022-05-02T17:15:00+00:00,STL,KCR,-174,136
2022-05-02T18:10:00+00:00,CHW,LAA,-148,126
2022-05-02T22:40:00+00:00,MIA,ARI,-174,146
2022-05-02T23:05:00+00:00,BAL,MIN,124,-146
2022-05-02T23:07:00+00:00,TOR,NYY,100,-118
2022-05-02T23:10:00+00:00,NYM,ATL,-110,-106
2022-05-03T00:10:00+00:00,HOU,SEA,-148,126
2022-05-03T01:40:00+00:00,OAK,TBR,134,-158
2022-05-03T19:10:00+00:00,NYM,ATL,-108,-108
2022-05-03T22:10:00+00:00,CLE,SDP,114,-134
2022-05-03T22:40:00+00:00,MIA,ARI,-198,166
2022-05-03T22:45:00+00:00,PHI,TEX,-156,124
2022-05-03T23:05:00+00:00,BAL,MIN,142,-168
2022-05-03T23:07:00+00:00,TOR,NYY,-142,120
2022-05-03T23:10:00+00:00,DET,PIT,-156,132
2022-05-03T23:10:00+00:00,BOS,LAA,114,-134
2022-05-03T23:40:00+00:00,MIL,CIN,-235,194
2022-05-03T23:40:00+00:00,CHC,CHW,116,-136
2022-05-04T00:10:00+00:00,KCR,STL,-112,-104
2022-05-04T00:10:00+00:00,HOU,SEA,-166,140
2022-05-04T00:40:00+00:00,COL,WSN,-152,128
2022-05-04T01:40:00+00:00,OAK,TBR,104,-132
2022-05-04T02:10:00+00:00,LAD,SFG,-158,124
2022-05-04T16:40:00+00:00,MIA,ARI,-174,146
2022-05-04T17:10:00+00:00,NYM,ATL,-136,116
2022-05-04T17:10:00+00:00,CLE,SDP,118,-138
2022-05-04T17:10:00+00:00,DET,PIT,-134,114
2022-05-04T17:10:00+00:00,KCR,STL,118,-138
2022-05-04T18:10:00+00:00,HOU,SEA,-240,184
2022-05-04T19:37:00+00:00,OAK,TBR,110,-130
2022-05-04T22:45:00+00:00,PHI,TEX,-198,166
2022-05-04T23:05:00+00:00,BAL,MIN,116,-136
2022-05-04T23:07:00+00:00,TOR,NYY,130,-154
2022-05-04T23:10:00+00:00,BOS,LAA,-174,136
2022-05-04T23:40:00+00:00,CHC,CHW,122,-144
2022-05-04T23:40:00+00:00,MIL,CIN,-330,265
2022-05-05T00:40:00+00:00,COL,WSN,-146,124
2022-05-05T02:10:00+00:00,LAD,SFG,-186,144
2022-05-05T17:35:00+00:00,BOS,LAA,108,-126
2022-05-05T17:40:00+00:00,MIL,CIN,-245,205
2022-05-05T19:10:00+00:00,COL,WSN,-142,120
2022-05-05T22:10:00+00:00,CLE,TOR,134,-158
2022-05-05T22:45:00+00:00,PHI,NYM,-158,134
2022-05-05T23:05:00+00:00,BAL,MIN,108,-136
2022-05-06T00:10:00+00:00,HOU,DET,-166,140
2022-05-06T01:40:00+00:00,SEA,TBR,110,-130
2022-05-06T01:40:00+00:00,SDP,MIA,-106,-110
2022-05-06T01:45:00+00:00,SFG,STL,-116,-102
2022-05-06T22:40:00+00:00,CIN,PIT,100,-118
2022-05-06T23:05:00+00:00,PHI,NYM,136,-162
2022-05-06T23:05:00+00:00,NYY,TEX,-245,200
2022-05-06T23:05:00+00:00,BAL,KCR,-126,108
2022-05-06T23:10:00+00:00,CLE,TOR,120,-142
2022-05-06T23:10:00+00:00,BOS,CHW,-172,144
2022-05-06T23:20:00+00:00,ATL,MIL,-108,-108
2022-05-07T00:10:00+00:00,MIN,OAK,-190,160
2022-05-07T00:10:00+00:00,HOU,DET,-240,198
2022-05-07T01:38:00+00:00,LAA,WSN,-190,160
2022-05-07T01:40:00+00:00,ARI,COL,-160,126
2022-05-07T01:40:00+00:00,SEA,TBR,-130,110
2022-05-07T01:40:00+00:00,SDP,MIA,-138,118
2022-05-07T02:15:00+00:00,SFG,STL,-142,120
2022-05-07T16:35:00+00:00,CIN,PIT,-102,-116
2022-05-07T17:05:00+00:00,NYY,TEX,-240,198
2022-05-07T17:05:00+00:00,CHC,LAD,190,-230
2022-05-07T18:10:00+00:00,CLE,TOR,-225,172
2022-05-07T18:10:00+00:00,MIN,OAK,-220,184
2022-05-07T20:05:00+00:00,PHI,NYM,130,-154
2022-05-07T20:05:00+00:00,HOU,DET,-198,164
2022-05-07T20:10:00+00:00,BOS,CHW,116,-136
2022-05-07T22:40:00+00:00,CIN,PIT,112,-132
2022-05-07T23:05:00+00:00,BAL,KCR,-126,108
2022-05-07T23:15:00+00:00,SFG,STL,-138,118
2022-05-07T23:20:00+00:00,ATL,MIL,-110,-106
2022-05-07T23:40:00+00:00,CHC,LAD,150,-192
2022-05-08T00:10:00+00:00,ARI,COL,-132,112
2022-05-08T00:40:00+00:00,SDP,MIA,-120,102
2022-05-08T01:07:00+00:00,LAA,WSN,-166,140
2022-05-08T01:10:00+00:00,SEA,TBR,116,-136
2022-05-08T15:35:00+00:00,BOS,CHW,-174,146
2022-05-08T16:35:00+00:00,PHI,NYM,130,-154
2022-05-08T17:35:00+00:00,BAL,KCR,-150,118
2022-05-08T17:35:00+00:00,ATL,MIL,-168,132
2022-05-08T17:35:00+00:00,NYY,TEX,-200,168
2022-05-08T17:40:00+00:00,CIN,PIT,-142,120
2022-05-08T17:40:00+00:00,CLE,TOR,172,-205
2022-05-08T18:10:00+00:00,HOU,DET,-178,150
2022-05-08T18:10:00+00:00,MIN,OAK,-162,136
2022-05-08T19:35:00+00:00,PHI,NYM,128,-152
2022-05-08T20:05:00+00:00,SFG,STL,-134,114
2022-05-08T20:07:00+00:00,LAA,WSN,-215,180
2022-05-08T20:10:00+00:00,ARI,COL,-158,124
2022-05-08T20:10:00+00:00,SEA,TBR,-118,100
2022-05-08T20:10:00+00:00,SDP,MIA,-154,130
2022-05-08T23:08:00+00:00,CHC,LAD,198,-240
2022-05-09T16:05:00+00:00,BAL,KCR,-146,124
2022-05-09T17:05:00+00:00,NYY,TEX,-220,184
2022-05-09T22:35:00+00:00,PIT,LAD,188,-225
2022-05-09T22:40:00+00:00,CIN,MIL,144,-172
2022-05-09T23:10:00+00:00,DET,OAK,-124,106
2022-05-10T00:10:00+00:00,CHW,CLE,-198,166
2022-05-10T01:38:00+00:00,LAA,TBR,-126,108
2022-05-10T01:40:00+00:00,SDP,CHC,-174,146
2022-05-10T01:40:00+00:00,ARI,MIA,-110,-116
2022-05-10T01:40:00+00:00,SEA,PHI,-108,-108
2022-05-10T01:45:00+00:00,SFG,COL,-250,205
2022-05-10T17:10:00+00:00,OAK,DET,122,-144
2022-05-10T22:35:00+00:00,PIT,LAD,198,-240
2022-05-10T22:40:00+00:00,CIN,MIL,172,-205
2022-05-10T23:05:00+00:00,NYY,TOR,-178,150
2022-05-10T23:05:00+00:00,WSN,NYM,142,-168
2022-05-10T23:20:00+00:00,ATL,BOS,-144,122
2022-05-10T23:40:00+00:00,MIN,HOU,126,-148
2022-05-10T23:45:00+00:00,STL,BAL,-154,130
2022-05-11T00:05:00+00:00,TEX,KCR,-134,114
2022-05-11T00:10:00+00:00,CHW,CLE,-200,168
2022-05-11T01:38:00+00:00,LAA,TBR,-104,-112
2022-05-11T01:40:00+00:00,ARI,MIA,114,-134
2022-05-11T01:40:00+00:00,SDP,CHC,-172,144
2022-05-11T01:40:00+00:00,SEA,PHI,108,-126
2022-05-11T01:45:00+00:00,SFG,COL,-230,176
2022-05-11T16:35:00+00:00,CIN,MIL,172,-205
2022-05-11T16:35:00+00:00,PIT,LAD,158,-205
2022-05-11T16:35:00+00:00,NYY,TOR,-142,120
2022-05-11T18:10:00+00:00,CHW,CLE,-126,108
